1672531279,0.33867000,32.20734073
1672531279,0.33866000,127.06467927
1672531361,0.33870000,33.29782215
1672531361,0.33858000,1980.82221779
1672531369,0.33850000,2950.90683523
1672531369,0.33840000,1763.77212064
1672531369,0.33840000,262.00000000
1672531369,0.33840000,0.83233982
1672531375,0.33855000,14.28007707
1672531384,0.33855000,2950.90683523
1672531401,0.33857000,2065.63478466
1672531422,0.33857000,590.18136704
1672531454,0.33855000,515.52237483
1672531454,0.33854000,295.09068352
1672531472,0.33848000,34.49975043
1672531498,0.33828000,172.45010000
1672531498,0.33828000,29.94990000
1672531625,0.33831000,36.11525048
1672531625,0.33804000,106.04952652
1672531625,0.33804000,2000.00000000
1672531627,0.33818000,906.57695259
1672531673,0.33833000,1554.00000000
1672531709,0.33837000,2952.38939622
1672531725,0.33837000,2952.38939622
1672531740,0.33839000,2951.95319425
1672531754,0.33833000,2952.73845062
1672531770,0.33833000,2066.91691543
1672531787,0.33833000,590.54769012
1672531804,0.33837000,295.25639131
1672531820,0.33836000,295.27384506
1672532009,0.33835000,2952.47665208
1672532029,0.33835000,2952.56391310
1672532043,0.33840000,2952.38939622
1672532057,0.33840000,2952.12765957
1672532058,0.33840000,2503.00000000
1672532058,0.33840000,7638.00000000
1672532058,0.33840000,9824.38294421
1672532098,0.33848000,2065.93990959
1672532113,0.33847000,590.30342423
1672532131,0.33845000,295.16915349
1672532142,0.33838000,323.00000000
1672532142,0.33834000,97.60000000
1672532142,0.33834000,300.00000000
1672532142,0.33833000,7673.54992710
1672532142,0.33832000,34.51999704
1672532142,0.33832000,31.88185450
1672532142,0.33832000,30.76637905
1672532361,0.33851000,33.00000000
1672532364,0.33851000,1029.00000000
1672532376,0.33851000,0.40729901
1672532376,0.33862000,360.59270099
1672532440,0.33865000,66.00000000
1672532490,0.33864000,292.35907275
1672532545,0.33857000,66.00000000
1672532562,0.33848000,168.00000000
1672532562,0.33848000,300.00000000
1672532562,0.33851000,417.39198251
1672532576,0.33845000,2951.42992200
1672532589,0.33846000,1180.64173018
1672532618,0.33837000,34.00000000
1672532702,0.33834000,272.90178800
1672532724,0.33850000,158.00000000
1672532784,0.33850000,50.00000000
1672532800,0.33850000,66.00000000
1672532909,0.33850000,33.67000000
1672532917,0.33850000,30.00000000
1672533058,0.33850000,388.13760000
1672533058,0.33853000,110.86240000
1672533419,0.33811000,295.44849614
1672533432,0.33809000,1269.90256751
1672533681,0.33804000,306.00000000
1672533682,0.33800000,4667.15363874
1672533682,0.33800000,5332.84636126
1672533682,0.33800000,12844.87013009
1672533682,0.33800000,9600.55792060
1672533682,0.33800000,6413.70255526
1672533682,0.33800000,6491.41268444
1672533682,0.33800000,6413.70255526
1672533682,0.33800000,6491.41268444
1672533683,0.33800000,6413.70255526
1672533683,0.33800000,6491.41268444
1672533687,0.33800000,3393.93658724
1672533687,0.33800000,9409.78668439
1672533687,0.33800000,45.00450045
1672533766,0.33777000,277.74156804
1672534194,0.33827000,141.52133800
1672534303,0.33831000,19.00000000
1672534579,0.33838000,100.00000000
1672534579,0.33838000,100.00000000
1672534909,0.33845000,443.29418349
1672534909,0.33848000,5050.00000000
1672534909,0.33852000,543.10558972
1672534909,0.33853000,3084.51783779
1672534909,0.33855000,4246.10342900
1672535015,0.33849000,443.29418349
1672535015,0.33850000,1556.70581651
1672535036,0.33847000,2020.11195346
1672535036,0.33847000,14772.62346184
1672535036,0.33848000,5050.00000000
1672535036,0.33850000,7963.19636670
1672535056,0.33850000,11454.92429681
1672535056,0.33850000,11454.89933471
1672535056,0.33850000,11454.89933471
1672535056,0.33850000,11454.92429681
1672535057,0.33850000,11454.92429681
1672535057,0.33850000,11454.89933471
1672535057,0.33850000,11454.89933471
1672535057,0.33850000,11454.92429681
1672535057,0.33850000,11454.89933471
1672535057,0.33850000,11454.92430572
1672535057,0.33850000,3355.43749609
1672535575,0.33850000,84.62193000
1672535621,0.33851000,21.16381000
1672535680,0.33851000,15.87286000
1672535729,0.33853000,40.76765300
1672535749,0.33859000,2860.23230000
1672535768,0.33859000,300.00000000
1672535768,0.33859000,300.00000000
1672535768,0.33856000,1157.54285296
1672535931,0.33857000,93.00183000
1672536769,0.33869000,1256.77138386
1672536811,0.33869000,300.00000000
1672536938,0.33862000,443.29418349
1672536938,0.33862000,1157.48140924
1672536938,0.33863000,9951.48718926
1672536980,0.33865000,443.29418349
1672536980,0.33865000,11556.69599882
1672537289,0.33857000,40.74636700
1672537666,0.33878000,443.29418349
1672537666,0.33878000,5050.00000000
1672537666,0.33880000,2120.58737303
1672537666,0.33881000,7000.00000000
1672537666,0.33882000,14757.24574716
1672537666,0.33882000,7694.07283105
1672537666,0.33883000,12641.66770389
1672537666,0.33883000,3080.41680884
1672537666,0.33887000,6157.00002951
1672537826,0.33877000,443.29418349
1672537826,0.33880000,1620.79465601
1672537840,0.33880000,37.00000000
1672537854,0.33880000,2948.64226682
1672537868,0.33871000,2949.42576245
1672537882,0.33871000,1179.83997165
1672537901,0.33865000,443.29418349
1672537901,0.33871000,736.55464781
1672537972,0.33866000,135.00000000
1672537986,0.33866000,308.29418349
1672537986,0.33869000,6691.70581651
1672537994,0.33868000,443.29418349
1672537994,0.33869000,6556.70581651
1672538023,0.33879000,443.29418349
1672538023,0.33880000,1528.35853892
1672538028,0.33878000,443.29418349
1672538028,0.33881000,2565.61139435
1672538267,0.33877000,1539.12466500
1672538411,0.33871000,101.25180000
1672538412,0.33864000,2726.95372724
1672538412,0.33864000,2711.65870171
1672538831,0.33825000,24.00000000
1672539312,0.33830000,76.87880000
1672539453,0.33828000,76.87880000
1672539496,0.33828000,3246.12120000
1672539667,0.33821000,443.51142780
1672539668,0.33803000,2127.13778030
1672539704,0.33756000,5050.00000000
1672539704,0.33756000,443.29418349
1672539704,0.33756000,4321.04905943
1672539705,0.33755000,779.48656496
1672539706,0.33735000,59.28560842
1672539707,0.33719000,38.95782710
1672539714,0.33695000,5050.00000000
1672539714,0.33697000,300.00000000
1672539714,0.33697000,300.00000000
1672539714,0.33700000,14727.78283373
1672539714,0.33701000,14836.70720055
1672539714,0.33708000,14785.50996572
1672539729,0.33701000,45.00000000
1672539742,0.33734000,93.05781606
1672539756,0.33722000,24.84343667
1672539759,0.33695000,443.29418349
1672539759,0.33696000,2519.07571242
1672539766,0.33696000,2964.74358974
1672539773,0.33702000,2964.74358974
1672539775,0.33699000,300.00000000
1672539775,0.33699000,300.00000000
1672539775,0.33698000,3000.00000000
1672539775,0.33695000,3000.00000000
1672539775,0.33690000,3109.61476340
